Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Class
1648641069495,67,99,81,33,72,46,96,69,541,banana_fresh
1648640882552,51,106,76,37,63,35,96,56,507,banana_fresh
1648640944369,60,106,80,32,74,46,92,65,531,banana_fresh
1648746125411,64,202,105,77,85,64,183,81,688,banana_fresh
1648641063107,59,102,84,32,67,46,91,65,540,banana_fresh
1648641007892,65,97,78,28,67,45,88,63,535,banana_fresh
1648746107596,65,200,103,85,82,62,181,85,674,banana_fresh
1648746080348,56,165,97,84,69,61,161,76,632,banana_fresh
1648640900750,56,106,76,34,66,40,97,64,527,banana_fresh
1648641083955,55,101,83,28,68,46,90,63,541,banana_fresh
1648640876546,52,102,71,35,65,34,96,62,502,banana_fresh
1648746096507,61,188,104,81,77,64,176,80,658,banana_fresh
1648641005110,60,99,80,31,66,43,90,59,532,banana_fresh
1648641026666,62,105,82,35,69,46,95,63,540,banana_fresh
1648746161950,88,201,126,75,94,61,184,85,717,banana_fresh
1648640885095,47,103,76,38,63,38,97,61,510,banana_fresh
1648746175756,78,198,110,77,92,71,175,88,707,banana_fresh
1648640857164,57,79,77,26,60,42,56,68,494,banana_fresh
1648746128746,71,207,103,83,84,68,180,88,692,banana_fresh
1648746186896,73,196,114,72,89,66,171,90,710,banana_fresh
1648746123817,67,203,105,81,84,65,187,86,686,banana_fresh
1648746183257,70,201,122,75,95,66,175,94,705,banana_fresh
1648641077605,62,100,87,30,70,44,88,66,542,banana_fresh
1648640967472,59,107,82,36,70,45,97,65,535,banana_fresh
1648641039316,60,98,83,31,70,49,92,68,542,banana_fresh
1648746095017,58,190,102,81,80,58,171,85,651,banana_fresh
1648746169236,73,197,118,79,89,62,175,94,710,banana_fresh
1648746146961,68,205,114,80,90,69,181,87,704,banana_fresh
1648746109798,68,189,110,82,78,76,181,90,693,banana_fresh
1648640980666,63,102,78,33,70,48,92,65,538,banana_fresh
1648641035889,59,101,79,30,69,44,93,63,542,banana_fresh
1648640959257,59,106,80,38,72,44,95,63,537,banana_fresh
1648640864150,54,86,78,25,68,39,76,61,486,banana_fresh
1648746092267,67,190,99,83,83,57,178,84,648,banana_fresh
1648641054288,58,105,86,32,67,50,92,66,542,banana_fresh
1648746111532,62,200,105,80,82,60,186,83,676,banana_fresh
1648746189831,83,189,109,83,87,72,176,92,713,banana_fresh
1648746083096,61,171,101,77,72,56,165,83,628,banana_fresh
1648746134039,68,201,110,81,84,64,188,85,698,banana_fresh
1648746101166,63,196,102,83,80,64,177,83,664,banana_fresh
1648746177979,83,194,114,87,82,77,172,86,717,banana_fresh
1648746142124,72,204,110,83,92,66,183,91,702,banana_fresh
1648640904379,56,109,76,33,67,39,95,64,522,banana_fresh
1648641060608,65,106,82,32,69,46,91,64,542,banana_fresh
1648640879726,55,106,78,37,66,41,94,59,503,banana_fresh
1648640983248,57,103,82,31,73,44,93,63,537,banana_fresh
1648641081721,54,102,82,32,69,48,93,66,537,banana_fresh
1648746093021,55,187,94,83,78,61,172,82,654,banana_fresh
1648640889002,51,106,75,38,70,39,95,57,511,banana_fresh
1648640957259,55,105,81,35,69,43,96,64,538,banana_fresh
1648746157299,72,204,118,83,87,69,181,92,709,banana_fresh
1648640869805,49,95,77,31,69,37,86,58,491,banana_fresh
1648640998733,53,100,82,27,63,44,91,60,534,banana_fresh
1648640998479,56,100,82,31,64,41,87,62,538,banana_fresh
1648640894371,48,109,77,38,68,42,97,60,518,banana_fresh
1648641040522,58,101,82,32,71,43,90,62,540,banana_fresh
1648640897263,56,108,79,37,66,44,96,62,519,banana_fresh
1648746077024,69,149,102,83,69,56,153,81,618,banana_fresh
1648640965747,58,111,84,29,71,46,95,61,535,banana_fresh
1648746100471,65,192,99,81,81,63,176,80,663,banana_fresh
1648746160351,73,204,112,78,94,70,181,91,705,banana_fresh
1648746129379,64,205,106,82,87,63,185,89,694,banana_fresh
1648641083555,65,97,84,30,65,44,88,63,539,banana_fresh
1648640989147,62,107,83,29,68,47,90,67,538,banana_fresh
1648640975461,60,105,83,32,69,43,95,65,538,banana_fresh
1648641093229,58,98,82,30,72,45,88,67,539,banana_fresh
1648641027547,62,108,84,34,70,46,97,64,538,banana_fresh
1648640880576,52,118,68,49,61,50,107,55,508,banana_fresh
1648641049646,59,103,82,32,67,49,92,67,543,banana_fresh
1648746188191,74,190,120,77,88,77,169,96,704,banana_fresh
1648641061500,61,105,82,33,67,48,90,62,541,banana_fresh
1648641035214,60,101,83,35,73,46,93,61,536,banana_fresh
1648640859394,54,80,79,18,66,32,61,59,490,banana_fresh
1648640986940,55,107,82,33,72,43,90,63,538,banana_fresh
1648640981979,62,108,80,32,68,48,95,63,539,banana_fresh
1648640866160,49,87,76,27,68,37,76,65,483,banana_fresh
1648640889875,53,107,72,35,69,42,90,60,514,banana_fresh
1648640921920,48,98,73,28,64,37,91,59,535,banana_fresh
1648640914709,52,96,79,24,69,46,80,64,523,banana_fresh
1648640968679,55,99,78,34,73,43,96,64,538,banana_fresh
1648640927376,58,101,80,32,67,41,89,61,526,banana_fresh
1648641054961,57,100,80,32,69,43,89,64,539,banana_fresh
1648746105774,66,199,103,81,81,61,179,81,672,banana_fresh
1648640878712,55,109,75,31,66,35,98,57,506,banana_fresh
1648641045614,62,105,83,33,72,42,90,62,541,banana_fresh
1648641048061,57,103,85,32,69,44,91,58,536,banana_fresh
1648640909814,49,110,78,36,70,42,93,64,527,banana_fresh
1648746123386,66,208,105,85,87,55,181,91,686,banana_fresh
1648746136832,71,204,107,85,86,69,184,91,702,banana_fresh
1648640993039,62,101,79,36,70,45,91,64,540,banana_fresh
1648746165082,66,204,114,81,84,71,175,92,704,banana_fresh
1648640989732,57,106,79,31,68,44,89,59,539,banana_fresh
1648640973347,60,108,81,33,67,44,95,60,538,banana_fresh
1648641054237,65,103,83,28,68,45,92,65,540,banana_fresh
1648746139946,66,206,109,82,87,69,185,87,704,banana_fresh
1648746141419,79,218,115,80,88,60,190,86,704,banana_fresh
1648640895531,53,106,76,32,68,41,98,63,518,banana_fresh
1648746170896,75,193,115,82,91,70,177,94,707,banana_fresh
1648641066440,62,102,84,28,66,48,90,66,538,banana_fresh
1648640861123,53,81,77,17,66,34,63,60,490,banana_fresh
1648640922293,55,98,78,29,69,43,91,59,531,banana_fresh
1648746077113,62,144,102,74,76,55,155,74,611,banana_fresh
1648640966338,59,106,79,32,71,49,93,64,536,banana_fresh
1648640935669,62,105,75,33,72,43,96,62,529,banana_fresh
1648640863508,53,83,75,21,64,32,66,57,484,banana_fresh
1648640960962,62,104,80,34,71,47,94,63,534,banana_fresh
1648746117053,65,205,108,84,81,65,184,87,689,banana_fresh
1648641087042,55,111,76,42,61,55,81,66,551,banana_fresh
1648640963017,57,110,78,35,67,46,95,63,537,banana_fresh
1648641077346,56,96,95,22,75,45,99,61,550,banana_fresh
1648641052874,52,101,80,34,69,47,89,62,535,banana_fresh
1648640956982,62,115,79,31,75,34,105,57,550,banana_fresh
1648641034453,61,110,79,42,67,50,96,71,541,banana_fresh
